N menor maior media
200 0.0000000 0.0000002 0.0000001
400 0.0000000 0.0000002 0.0000001
600 0.0000000 0.0000002 0.0000001
800 0.0000000 0.0000002 0.0000001
1000 0.0000000 0.0000002 0.0000001
1200 0.0000000 0.0000002 0.0000001
1400 0.0000000 0.0000002 0.0000001
1600 0.0000000 0.0000002 0.0000001
1800 0.0000000 0.0000002 0.0000001
2000 0.0000000 0.0000002 0.0000001
